date,open,close,high,low,volume_from,volume_to
2017-11-21,72.38,69.91,72.85,68.09,1283528.9,90392116.91
2017-11-22,69.91,72.03,72.04,69.88,675949.97,48021169.53
2017-11-23,72.03,72.94,76.77,70.74,1452417.2,107737051.93
2017-11-24,72.97,77.54,77.61,72.34,1103526.27,82185081.57
2017-11-25,77.53,88.79,89.47,77.07,1908366.6,158025655.36
2017-11-26,88.77,86.24,88.77,83.73,927136.62,79938117.09
2017-11-27,86.2,90.99,93.11,86.12,1588524.41,142772956.71
2017-11-28,90.99,94.22,94.53,89.53,1209822.51,111647453.48
2017-11-29,94.22,85.41,103.03,78.12,2993509.96,283266729.01
2017-11-30,85.4,85.94,92.23,76.95,1893458.34,159892481.32
2017-12-01,85.94,99.15,100.22,81.11,2191137.08,201759858.57
2017-12-02,99.15,99.32,103.41,97.52,1419498.63,142658345.14
2017-12-03,99.32,100.7,106.77,96.87,1362821.76,138622765.31
2017-12-04,100.71,103.87,103.95,95.39,1070029.64,107176440.63
2017-12-05,103.86,100.49,103.91,100.37,910964.87,92720782.62
2017-12-06,100.49,98.97,103.0,95.11,1462459.21,146319763.02
2017-12-07,98.94,96.0,99.81,86.93,1731647.86,165747903.4
2017-12-08,95.99,125.24,136.4,93.37,4076572.6,473760093.71
2017-12-09,125.34,155.98,179.54,125.34,5632742.17,853646807.31
2017-12-10,155.98,147.84,156.72,130.39,2513708.41,361899241.26
2017-12-11,147.46,214.54,225.55,146.97,4325680.61,806672044.43
2017-12-12,214.53,328.52,401.76,210.36,5958977.43,1712426348.74
2017-12-13,327.96,305.27,347.8,276.12,3799072.43,1198402020.67
2017-12-14,305.03,279.81,314.78,268.12,2000999.92,584754476.6
2017-12-15,280.02,300.27,317.69,249.24,2872380.22,828163804.95
2017-12-16,299.98,302.04,311.18,285.56,1299384.74,389831717.68
2017-12-17,302.04,319.57,332.09,300.59,1599061.91,511044214.22
2017-12-18,319.57,357.51,364.34,300.88,1900832.44,626661390.18
2017-12-19,357.51,346.87,376.1,324.37,2310681.43,814023803.65
2017-12-20,346.73,304.81,346.73,286.54,2365656.66,752136890.57
2017-12-21,304.77,307.69,327.26,286.39,1381946.46,422642587.94
2017-12-22,307.69,262.09,309.11,158.96,4775833.04,1167484790.83
2017-12-23,262.15,284.11,312.71,256.31,1519044.69,433571769.1
