date,open,close,high,low,volume_from,volume_to
2018-04-01,394.07,378.85,399.59,359.22,626777.44,236013242.51
2018-04-02,378.85,384.68,394.12,375.8,406593.03,156793473.63
2018-04-03,384.68,415.93,426.84,380.71,556809.37,223508235.85
2018-04-04,415.93,378.65,417.11,370.66,575977.98,223170178.92
2018-04-05,378.65,381.36,387.56,367.15,424333.64,160332018.27
2018-04-06,381.43,370.35,385.78,363.51,360272.94,133748822.09
2018-04-07,370.35,384.98,397.1,369.66,281003.74,108165642.16
2018-04-08,384.98,400.72,404.22,384.98,272088.6,107956653.97
2018-04-09,400.72,399.02,431.23,387.98,669097.01,271803047.82
2018-04-10,399.02,415.65,418.27,391.84,320480.46,129335600.11
2018-04-11,415.65,430.42,433.44,410.97,398311.12,167561896.24
2018-04-12,430.39,493.95,498.08,414.03,985900.0,450834363.9
2018-04-13,493.95,494.96,528.95,482.1,930496.63,470945268.74
2018-04-14,494.96,502.79,514.66,487.72,381076.96,191073028.98
2018-04-15,502.79,534.15,534.31,502.79,469221.99,243926045.87
2018-04-16,534.16,511.67,537.48,499.17,487480.43,249996040.92
2018-04-17,511.67,503.03,522.07,500.48,382492.24,195195626.75
2018-04-18,503.03,525.78,526.61,501.7,347025.84,178681435.05
2018-04-19,525.78,567.25,570.18,521.83,490680.13,267530654.45
2018-04-20,567.25,617.16,622.14,557.98,699889.46,410498449.5
2018-04-21,617.17,605.17,625.15,576.09,488613.74,294264369.95
2018-04-22,605.17,621.33,644.29,591.81,433216.48,270504773.22
2018-04-23,621.33,644.13,648.41,619.57,373097.03,238556831.22
2018-04-24,644.13,703.35,711.64,644.06,780339.81,538337384.08
2018-04-25,703.4,617.73,703.9,592.59,1413475.83,903686072.96
2018-04-26,617.62,661.45,665.97,600.35,616943.15,387845424.34
2018-04-27,661.41,643.33,686.05,640.74,486769.09,323944620.57
2018-04-28,643.12,683.02,693.47,640.09,351860.75,238423753.67
2018-04-29,683.02,689.31,698.95,665.28,317205.24,216606354.66
2018-04-30,689.31,670.04,693.63,663.28,364715.76,248315675.69
2018-05-01,670.04,670.81,674.62,628.29,544527.28,355270695.23
2018-05-02,670.81,686.74,690.86,662.13,376872.81,255558720.87
2018-05-03,686.74,777.62,787.57,685.92,798057.17,588164727.16
2018-05-04,777.78,784.21,804.63,759.67,546215.76,427563922.79
2018-05-05,784.19,816.58,827.44,780.08,389912.01,315600160.75
2018-05-06,816.59,790.39,834.3,753.51,474447.3,374541870.07
